,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
0,No Time to Die,2021,7.6,"107,163","Action, Adventure, Thriller",163 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1,The Guilty,2021,6.3,"64,375","Crime, Drama, Thriller",90 ,Film,R,-,None,None,Severe,None,Moderate
2,The Many Saints of Newark,2021,6.4,"27,145","Crime, Drama",120 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
3,Venom: Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci-Fi",97 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
4,Dune,2021,8.3,"84,636","Action, Adventure, Drama",155 ,Film,PG-13,-,None,Moderate,None,Mild,Moderate
5,Ted Lasso,2021,8.8,"117,562","Comedy, Drama, Sport",30 ,Series,TV-MA,23,Mild,None,Severe,Mild,None
6,Free Guy,2021,7.3,"153,835","Action, Adventure, Comedy",115 ,Film,PG-13,-,Mild,Moderate,Moderate,None,Mild
9,Sex Education,2021,8.3,"220,201","Comedy, Drama",45 ,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild
10,The Walking Dead,2021,8.2,"906,327","Drama, Horror, Thriller",44 ,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe
11,The Chestnut Man,2021,7.9,"15,434","Crime, Drama, Mystery",50 ,Series,TV-MA,6,Mild,Moderate,Mild,None,Moderate
13,The Sopranos,2021,9.2,"340,006","Crime, Drama",55 ,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
15,American Horror Story,2021,8.0,"296,306","Drama, Horror, Thriller",60 ,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe
16,Seinfeld,2021,8.8,"272,028",Comedy,22 ,Series,TV-PG,174,Mild,Mild,Mild,Mild,None
17,Grey's Anatomy,2021,7.5,"275,094","Drama, Romance",41 ,Series,TV-14,384,Moderate,Severe,Mild,Moderate,Moderate
18,Game of Thrones,2021,9.2,"1,885,776","Action, Adventure, Drama",57 ,Series,TV-MA,73,Severe,Severe,Severe,Moderate,Severe
19,Black Widow,2021,6.8,"246,603","Action, Adventure, Sci-Fi",134 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
20,The Last Duel,2021,7.7,"6,498","Action, Drama, History",152 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
21,Alice in Borderland,2021,7.7,"33,151","Action, Fantasy, Mystery",50 ,Series,TV-MA,9,Moderate,Severe,Mild,Mild,Severe
22,Shang-Chi and the Legend of the Ten Rings,2021,7.9,"109,552","Action, Adventure, Fantasy",132 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
23,Billions,2021,8.4,"80,562",Drama,60 ,Series,TV-MA,72,Moderate,None,Severe,Moderate,None
25,Spectre,2015,6.8,"407,514","Action, Adventure, Thriller",148 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
26,Casino Royale,2006,8.0,"613,873","Action, Adventure, Thriller",144 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
27,Lucifer,2006,8.1,"288,801","Crime, Drama, Fantasy",42 ,Series,TV-14,93,Mild,Mild,Mild,Moderate,Mild
28,The Morning Show,2006,8.4,"73,736",Drama,60 ,Series,TV-MA,20,Mild,None,Severe,Mild,Mild
29,Halloween Kills,2021,6.1,"20,383","Horror, Thriller",105 ,Film,R,-,None,Severe,Severe,Mild,Severe
30,There's Someone Inside Your House,2021,4.8,"7,724","Horror, Mystery, Thriller",96 ,Film,TV-MA,-,Mild,Severe,Moderate,Moderate,Moderate
31,Malignant,2021,6.3,"53,310","Crime, Horror, Mystery",111 ,Film,R,-,None,Severe,Moderate,None,Severe
33,La casa de papel,2021,8.2,"393,487","Action, Crime, Drama",70 ,Series,TV-MA,41,Moderate,Moderate,Moderate,Mild,Moderate
35,The Night House,2020,6.5,"14,936","Horror, Mystery, Thriller",107 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Severe
36,Succession,2020,8.7,"66,106",Drama,60 ,Series,TV-MA,29,Moderate,Mild,Severe,Moderate,None
38,Venom,2018,6.7,"414,787","Action, Adventure, Sci-Fi",112 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
39,Skyfall,2012,7.8,"658,977","Action, Adventure, Thriller",143 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
40,NCIS: Naval Criminal Investigative Service,2012,7.7,"130,626","Action, Crime, Drama",60 ,Series,TV-14,420,Mild,Moderate,Mild,Mild,Moderate
41,See,2012,7.6,"59,581","Action, Drama, Sci-Fi",60 ,Series,TV-MA,17,Moderate,Severe,Moderate,None,Moderate
42,The Addams Family 2,2021,5.3,"3,798","Animation, Adventure, Comedy",93 ,Film,PG,-,Mild,Moderate,None,None,Mild
43,Big Sky,2021,6.8,"11,483","Crime, Drama, Mystery",60 ,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate
44,Peaky Blinders,2021,8.8,"416,006","Crime, Drama",60 ,Series,TV-MA,36,Severe,Severe,Severe,Severe,Moderate
45,What We Do in the Shadows,2021,8.5,"50,078","Comedy, Fantasy, Horror",30 ,Series,TV-MA,31,Moderate,Moderate,Moderate,Mild,Mild
46,Titane,2021,7.2,"6,076","Drama, Horror, Sci-Fi",108 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
47,American Crime Story,2021,8.4,"87,503","Biography, Crime, Drama",42 ,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe
49,Stranger Things,2021,8.7,"918,729","Drama, Fantasy, Horror",51 ,Series,TV-14,34,Mild,Moderate,Moderate,Mild,Moderate
50,Titans,2021,7.6,"82,808","Action, Adventure, Crime",45 ,Series,TV-MA,37,Moderate,Severe,Severe,Mild,Moderate
51,Goliath,2021,8.2,"40,575",Drama,60 ,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate
52,Breaking Bad,2021,9.4,"1,593,305","Crime, Drama, Thriller",49 ,Series,TV-MA,62,Mild,Severe,Moderate,Severe,Severe
53,On My Block,2021,8.0,"13,772","Comedy, Drama",30 ,Series,TV-14,38,Mild,Moderate,Moderate,Moderate,Mild
54,Old,2021,5.8,"52,713","Drama, Horror, Mystery",108 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
56,The Rookie,2021,8.0,"27,281","Comedy, Crime, Drama",43 ,Series,TV-14,59,Mild,Moderate,Mild,Moderate,Mild
